7,1,fc2,[ 2 29],118.0,-10.0,82.08,0.2600000000000051
7,2,fc2,[ 2 12],118.0,-10.0,81.5,0.5799999999999983
7,3,fc2,[ 2 16],119.0,-9.0,80.58,0.9200000000000017
7,4,fc2,[2 6],119.0,-9.0,79.1,1.480000000000004
7,5,fc2,[ 2 25],117.0,-11.0,77.52,1.5799999999999983
7,6,fc2,[ 2 31],117.0,-11.0,75.22,2.299999999999997
7,7,fc2,[2 0],119.0,-9.0,72.96,2.260000000000005
7,8,fc2,[ 2 17],119.0,-9.0,72.24,0.7199999999999989
7,9,fc2,[ 2 15],27.0,-101.0,71.52,0.7199999999999989
7,10,fc2,[ 2 11],118.0,-10.0,71.42,0.09999999999999432
7,11,fc2,[ 2 27],103.0,-25.0,71.32,0.10000000000000853
7,12,fc2,[2 2],96.0,-32.0,71.32,0.0
7,13,fc2,[0 5],-21.0,107.0,71.42,-0.10000000000000853
7,14,fc2,[ 0 29],-116.0,12.0,71.6,-0.1799999999999926
7,15,fc2,[ 0 12],-116.0,12.0,71.72,-0.12000000000000455
7,16,fc2,[ 0 15],-117.0,11.0,71.54,0.1799999999999926
7,17,fc2,[0 0],-117.0,11.0,71.34,0.20000000000000284
7,18,fc2,[ 0 17],-116.0,12.0,70.94,0.4000000000000057
7,19,fc2,[ 0 29],12.0,76.0,70.54,0.3999999999999915
7,20,fc2,[ 0 12],12.0,76.0,70.32,0.22000000000001307
7,21,fc2,[ 0 15],11.0,75.0,69.34,0.9799999999999898
7,22,fc2,[ 2 29],-10.0,-74.0,69.34,0.0
7,23,fc2,[ 2 12],-10.0,-74.0,69.34,0.0
7,24,fc2,[ 2 25],-11.0,-75.0,69.34,0.0
7,25,fc2,[0 0],11.0,75.0,68.84,0.5
7,26,fc2,[0 3],-85.0,43.0,67.32,1.5200000000000102
7,27,fc2,[ 0 30],-14.0,114.0,66.78,0.539999999999992
7,28,fc2,[0 3],43.0,107.0,66.28,0.5
7,29,fc2,[ 0 17],12.0,76.0,66.02,0.2600000000000051
3,30,conv2,[2 1 8],-121.0,7.0,65.72,0.29999999999999716
