3,1,conv2,[1 0 1],10.0,-118.0,77.44,12.060000000000002
3,2,conv2,[ 1  0 15],40.0,-88.0,69.3,8.14
3,3,conv2,[ 0  0 16],-11.0,117.0,70.46,-1.1599999999999966
3,4,conv2,[ 0  0 17],-25.0,103.0,68.4,2.059999999999988
3,5,conv2,[ 0  0 18],-20.0,108.0,66.04,2.3599999999999994
3,6,conv2,[ 0  0 19],-2.0,126.0,63.92,2.1200000000000045
3,7,conv2,[ 0  0 20],-16.0,112.0,61.98,1.9400000000000048
3,8,conv2,[ 0  0 15],-24.0,104.0,59.58,2.3999999999999986
7,9,fc2,[3 5],11.0,-117.0,56.34,3.239999999999995
6,10,fc1,[5 0],-5.0,123.0,54.38,1.9600000000000009
7,11,fc2,[4 5],37.0,101.0,49.82,4.560000000000002
6,12,fc1,[5 6],-5.0,123.0,40.74,9.079999999999998
6,13,fc1,[5 4],-4.0,124.0,32.2,8.54
6,14,fc1,[5 5],-7.0,121.0,26.68,5.520000000000003
3,15,conv2,[ 0  0 14],-6.0,122.0,26.62,0.05999999999999872
6,16,fc1,[5 3],-2.0,126.0,23.98,2.6400000000000006
3,17,conv2,[ 0  0 12],-1.0,127.0,23.9,0.08000000000000185
1,18,conv1,[ 0  0 20],13.0,-115.0,23.96,-0.060000000000002274
3,19,conv2,[0 0 4],-7.0,121.0,23.86,0.10000000000000142
3,20,conv2,[0 0 5],-12.0,116.0,23.76,0.09999999999999787
7,21,fc2,[2 5],-58.0,-122.0,22.62,1.1400000000000006
7,22,fc2,[ 4 24],-65.0,63.0,20.8,1.8200000000000003
